cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0	0.1	0	0	0.21	0	0	0	0	0.06	0	0	0	1	0	0.1	0.08	0	0.07	0
cluster1	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.21	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0	0.11	0	0	0.2	0	1	0	0	0.07	0	0	0	0	0	0.07	0.09	0	0.06	0
cluster4	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0.1	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster6	0.72	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.18	0
cluster7	0.12	0.12	0	0	0	0.07	0	0	0	0.1	1	0.4	0.87	0	0	0.05	0.09	0	0.05	0
cluster8	0	0.11	0	0	0.21	0	0	0	0	0.12	0	0	0	0	0	0.1	0.12	1	0.26	0
cluster9	0	0	0	0.32	0	0	0	0	0	0.1	0	0	0	0	0	0.07	0.1	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.16	0.12	0	0	0	0.93	0	0	0	0	0	0	0	0	0	0.09	0	0	0.07	0
cluster12	0	0	0	0	0	0	0	0	0	0.07	0	0	0.13	0	0	0.09	0.08	0	0	1
cluster13	0	0	0	0	0	0	0	0	1	0.08	0	0.6	0	0	0	0.07	0.1	0	0	0
cluster14	0	0.09	1	0	0.19	0	0	1	0	0.07	0	0	0	0	0	0.07	0.06	0	0.09	0
cluster15	0	0	0	0.36	0	0	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0
cluster20	0	0	0	0.32	0	0	0	0	0	0.12	0	0	0	0	1	0	0.08	0	0	0
