cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0.08	0.14	0.27	0.06	0.21	0.08	0.05	0.42	0.11	0.08	0.07	0.02	0.03	0.56	0.02	0.06	0.07	0.2	0.1	0.01
cluster1	0	0.13	0	0	0	0.07	0	0	0	0	0.1	0	0	0	0	0.08	0	0	0.18	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0.1	0.11	0	0.06	0.18	0.09	0.63	0.14	0.12	0.07	0.06	0.11	0.1	0.16	0.05	0.07	0.06	0.14	0.1	0.01
cluster4	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.08	0	0.11	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0
cluster6	0.23	0.09	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0.1	0	0	0.17	0
cluster7	0.15	0.13	0	0.07	0	0.28	0	0	0.1	0.07	0.38	0.46	0.29	0	0.05	0.07	0.08	0	0.1	0.2
cluster8	0.05	0.1	0.31	0.08	0.23	0.05	0.12	0	0.17	0.1	0.04	0.14	0.12	0.29	0.06	0.09	0.07	0.32	0.09	0.07
cluster9	0	0	0	0.14	0	0	0	0	0	0.11	0	0	0	0	0.13	0.1	0.13	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.21	0.1	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0.08	0	0	0.16	0
cluster12	0	0	0	0.06	0	0	0	0	0.12	0.09	0	0	0.4	0	0.09	0.06	0.08	0	0	0.43
cluster13	0	0	0	0.11	0	0	0	0	0.29	0.11	0	0.22	0	0	0.09	0.1	0.11	0	0	0.26
cluster14	0.11	0.09	0.42	0.03	0.19	0.07	0.19	0.44	0.09	0.06	0.13	0.05	0.07	0	0.04	0.08	0.09	0.25	0.1	0.02
cluster15	0	0	0	0.16	0	0	0	0	0	0.12	0	0	0	0	0	0	0.11	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0.06	0.12	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0.1	0	0	0	0
cluster20	0	0	0	0.22	0	0	0	0	0	0.1	0	0	0	0	0.38	0	0.1	0	0	0
