cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0.07	0.11	0.32	0.04	0.22	0.05	0.08	0.35	0.09	0.09	0.06	0.02	0.03	0.59	0.02	0.09	0.09	0.18	0.1	0.01
cluster1	0	0.1	0	0	0	0.1	0	0	0	0	0.11	0	0	0	0	0.09	0	0	0.15	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0.11	0.1	0	0.04	0.15	0.09	0.51	0.16	0.13	0.07	0.11	0.13	0.11	0.2	0.04	0.08	0.07	0.17	0.1	0.06
cluster4	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.06	0	0.13	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
cluster6	0.2	0.11	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0.1	0	0	0.18	0
cluster7	0.17	0.13	0	0.07	0	0.29	0	0	0.14	0.08	0.32	0.35	0.31	0	0.07	0.07	0.09	0	0.15	0.21
cluster8	0.08	0.08	0.34	0.06	0.23	0.04	0.18	0	0.14	0.08	0.05	0.12	0.13	0.21	0.05	0.07	0.09	0.33	0.06	0.09
cluster9	0	0	0	0.15	0	0	0	0	0	0.1	0	0	0	0	0.13	0.08	0.09	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.19	0.13	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0.09	0	0	0.15	0
cluster12	0	0	0	0.07	0	0	0	0	0.15	0.1	0	0	0.36	0	0.1	0.06	0.06	0	0	0.41
cluster13	0	0	0	0.12	0	0	0	0	0.25	0.07	0	0.31	0	0	0.11	0.1	0.09	0	0	0.19
cluster14	0.1	0.1	0.34	0.04	0.2	0.09	0.23	0.49	0.09	0.09	0.11	0.06	0.06	0	0.03	0.08	0.08	0.24	0.11	0.04
cluster15	0	0	0	0.21	0	0	0	0	0	0.13	0	0	0	0	0	0	0.1	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0.09	0.12	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0.09	0	0	0	0
cluster20	0	0	0	0.18	0	0	0	0	0	0.12	0	0	0	0	0.4	0	0.1	0	0	0
