cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0.1	0.11	0.24	0.04	0.22	0.08	0.06	0.32	0.09	0.07	0.05	0.03	0.04	0.69	0.03	0.09	0.08	0.2	0.08	0.02
cluster1	0	0.12	0	0	0	0.13	0	0	0	0	0.06	0	0	0	0	0.09	0	0	0.15	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0.09	0.1	0	0.06	0.18	0.09	0.63	0.18	0.11	0.08	0.1	0.12	0.12	0.12	0.04	0.07	0.06	0.16	0.1	0.06
cluster4	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.06	0	0.13	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
cluster6	0.18	0.11	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0.08	0	0	0.18	0
cluster7	0.16	0.12	0	0.07	0	0.23	0	0	0.12	0.09	0.39	0.29	0.39	0	0.05	0.07	0.09	0	0.14	0.2
cluster8	0.08	0.09	0.37	0.06	0.22	0.04	0.13	0	0.13	0.09	0.04	0.12	0.16	0.2	0.06	0.07	0.08	0.32	0.07	0.08
cluster9	0	0	0	0.16	0	0	0	0	0	0.11	0	0	0	0	0.13	0.1	0.1	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.21	0.11	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.1	0	0	0.16	0
cluster12	0	0	0	0.07	0	0	0	0	0.2	0.09	0	0	0.23	0	0.13	0.08	0.08	0	0	0.45
cluster13	0	0	0	0.11	0	0	0	0	0.24	0.08	0	0.36	0	0	0.11	0.1	0.09	0	0	0.17
cluster14	0.09	0.1	0.39	0.04	0.19	0.11	0.18	0.5	0.1	0.07	0.08	0.07	0.05	0	0.02	0.07	0.08	0.24	0.12	0.02
cluster15	0	0	0	0.17	0	0	0	0	0	0.12	0	0	0	0	0	0	0.11	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0.08	0.13	0	0	0	0.04	0	0	0	0	0.04	0	0	0	0	0.08	0	0	0	0
cluster20	0	0	0	0.2	0	0	0	0	0	0.1	0	0	0	0	0.36	0	0.1	0	0	0
