cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0.07	0.1	0.3	0.04	0.21	0.06	0.05	0.31	0.1	0.07	0.06	0.01	0.03	0.65	0.01	0.08	0.08	0.22	0.09	0.02
cluster1	0	0.11	0	0	0	0.12	0	0	0	0	0.11	0	0	0	0	0.09	0	0	0.13	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0.09	0.11	0	0.06	0.15	0.08	0.6	0.19	0.11	0.08	0.11	0.08	0.1	0.16	0.05	0.06	0.09	0.15	0.1	0.07
cluster4	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0.06	0	0.12	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
cluster6	0.18	0.12	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0.1	0	0	0.15	0
cluster7	0.19	0.11	0	0.05	0	0.24	0	0	0.14	0.07	0.32	0.38	0.36	0	0.04	0.09	0.08	0	0.16	0.16
cluster8	0.08	0.1	0.26	0.06	0.23	0.05	0.19	0	0.14	0.08	0.07	0.18	0.16	0.19	0.05	0.06	0.09	0.32	0.09	0.09
cluster9	0	0	0	0.16	0	0	0	0	0	0.1	0	0	0	0	0.13	0.09	0.1	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.22	0.13	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0.08	0	0	0.18	0
cluster12	0	0	0	0.06	0	0	0	0	0.15	0.09	0	0	0.31	0	0.09	0.08	0.06	0	0	0.46
cluster13	0	0	0	0.1	0	0	0	0	0.26	0.08	0	0.31	0	0	0.14	0.06	0.1	0	0	0.17
cluster14	0.11	0.11	0.44	0.04	0.2	0.1	0.17	0.5	0.11	0.07	0.1	0.04	0.03	0	0.02	0.09	0.07	0.22	0.09	0.04
cluster15	0	0	0	0.2	0	0	0	0	0	0.13	0	0	0	0	0	0	0.11	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0.07	0.11	0	0	0	0.05	0	0	0	0	0.04	0	0	0	0	0.12	0	0	0	0
cluster20	0	0	0	0.21	0	0	0	0	0	0.1	0	0	0	0	0.39	0	0.11	0	0	0
